0.1	2.2049874209145757	2.2057229020140280	2.3681058836930275	0.12368105954268083
0.2	2.4326355503740342	2.4341886193108060	2.8003484135902403	0.31201393988188508
0.3	2.7151415359233610	2.7166894216792570	3.2785671898303987	0.59507105587853837
0.4	3.0068698635484340	3.0066065668395265	3.8595851427980183	1.01753360560000020
0.5	3.3215641386550290	3.3219826800511020	4.5974399086413387	1.64935994500000001
0.6	3.6461119683807555	3.6448269847521550	5.4788127677666898	2.57237254140000010
0.7	3.9808164261160750	3.9785426320573400	6.7527603752779246	4.00885249169999999
0.8	4.3147474695174210	4.3106014285724426	8.5186010231454610	6.25190450320000057
0.9	4.6117349722342590	4.6061215802865190	10.882925874310970	9.71517022090442420
0.95	4.7404576398928090	4.7293319304851470	11.981122000000000	11.7629632276558490	
